event_id,vehicle_id,vehicle,driver,detection_time,utc_offset,event_type,detected_event_type,duration_seconds,speed_kph,travel_metres,latitude,longitude,audio_alert,vibration_alert,trip_distance_metres,trip_time_seconds,confirmation,confirmation_time,classification,fleet,timezone,account,service_provider,shift,crew,guardian_unit,software_version,labels,,,
2423573845,94555,1CYD754,,4/2/2024,480,fatigue,fatigue,1.6,28,12,-32.9299,117.1774,yes,yes,125,54,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00009052,1.4.6.487803,,,,
2423574441,131067,1HXX939,,4/2/2024,480,fatigue,fatigue,1.5,91,39,-28.7148,114.9369,yes,yes,27618,3105,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011943,1.4.7.493490,,,,
2423578900,115381,1GLD510,,4/2/2024,480,fatigue,fatigue,1.6,,,,,yes,yes,0,50,normal driving,4/2/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00008624,1.4.7.493490,,,,
2423582621,101697,1HSO643,,4/2/2024,480,fatigue,fatigue,2.6,,,,,yes,yes,0,34,normal driving,4/2/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
2423582642,101697,1HSO643,,4/2/2024,480,fatigue,fatigue,2,,,,,yes,yes,0,62,normal driving,4/2/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
2423587684,14802,1GNQ950,,4/2/2024,480,fatigue,fatigue,1.6,90,40,-28.3146,117.0415,yes,yes,253675,12440,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011947,1.4.6.487803,,,,
2423589380,21373,MD8410,,4/2/2024,480,fatigue,fatigue,1.8,97,49,-31.6425,117.3494,yes,yes,116908,5408,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423589439,21373,MD8410,,4/2/2024,480,fatigue,fatigue,2.5,97,67,-31.6416,117.3696,yes,yes,118852,5480,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423595455,131067,1HXX939,,4/2/2024,480,fatigue,fatigue,1.5,43,18,-28.0093,118.994,yes,yes,124538,5655,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011943,1.4.7.493490,,,,
2423600426,131067,1HXX939,,4/2/2024,480,fatigue,fatigue,1.8,94,46,-27.956,119.4512,yes,yes,170961,7792,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011943,1.4.7.493490,,,,
2423600417,131067,1HXX939,,4/2/2024,480,fatigue,fatigue,1.7,55,26,-27.9483,119.5689,yes,yes,182617,8298,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011943,1.4.7.493490,,,,
2423598164,21373,MD8410,,4/2/2024,480,fatigue,fatigue,1.9,30,16,-31.4835,118.2507,yes,yes,143,58,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423600381,131067,1HXX939,,4/2/2024,480,fatigue,fatigue,1.7,89,41,-27.9406,120.0501,yes,yes,235146,10437,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011943,1.4.7.493490,,,,
2423598331,21373,MD8410,,4/2/2024,480,fatigue,fatigue,1.5,33,14,-31.4933,118.2369,yes,yes,2683,279,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
