Date,Bill of Lading,Location,Customer,Product,Volume
,,,,,
GERALDTON 3PL TOTAL,,,,,
09.06.2025,8148328349,AU TERM KALGOORLIE,ST IVES ATHENA (S064),ULSD 10PPM,-171
09.06.2025,8148354300,AU TERM KALGOORLIE,ST IVES INVINCIBLE (S068),ULSD 10PPM,-103
09.06.2025,8148354300,AU TERM KALGOORLIE,ST IVES INVINCIBLE (S068),ULSD 10PPM,-486
09.06.2025,8148354300,AU TERM KALGOORLIE,ST IVES INVINCIBLE (S068),ULSD 10PPM,-102
09.06.2025,8148339716,AU TERM KALGOORLIE,ST IVES INV STH (WEIGHBRIDGE) S060,ULSD 10PPM,-374
09.06.2025,8148339718,AU TERM KALGOORLIE,SILVER LAKE RANDALLS,ULSD 10PPM,-588
09.06.2025,8148339719,AU TERM KALGOORLIE,SILVER LAKE FRENCH KISS,ULSD 10PPM,-401
09.06.2025,8148346314,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,-716
09.06.2025,8148346314,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,-715
09.06.2025,8148346314,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,-585
09.06.2025,8148346314,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,-446
09.06.2025,8148346883,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,-706
09.06.2025,8148346883,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,-629
09.06.2025,8148357862,AU TERM KALGOORLIE,TOLEDO AUSCO - RAYJAX FUEL FACILITY,ULSD 10PPM,-527
09.06.2025,8148343959,AU TERM KALGOORLIE,AGNEW GATEHOUSE,ULSD 10PPM,-687
09.06.2025,8148358207,AU TERM KALGOORLIE,KCGM MT CHARLOTTE,ULSD 10PPM,-224
09.06.2025,8148358208,AU TERM KALGOORLIE,AGNEW WAROONGA,ULSD 10PPM,"-1,072"
09.06.2025,8148358208,AU TERM KALGOORLIE,AGNEW WAROONGA,ULSD 10PPM,"-1,752"
09.06.2025,8148358208,AU TERM KALGOORLIE,AGNEW WAROONGA,ULSD 10PPM,"-1,757"
09.06.2025,8148361752,AU TERM KALGOORLIE,TOLEDO AUSCO - Mill,ULSD 10PPM,-426
09.06.2025,8148361974,AU TERM KALGOORLIE,DYNO NOBEL KALGOORLIE ANFO,ULSD 10PPM,-290
09.06.2025,8148327856,AU TERM KALGOORLIE,KCGM MT CHARLOTTE,ULSD 10PPM,-224
09.06.2025,8148356369,AU TERM KALGOORLIE,ST IVES ATHENA (S064),ULSD 10PPM,-171
09.06.2025,8148366000,AU TERM KALGOORLIE,ST IVES NEPTUNE (S067),ULSD 10PPM,-341
09.06.2025,8148366000,AU TERM KALGOORLIE,ST IVES NEPTUNE (S067),ULSD 10PPM,-310
09.06.2025,8148358166,AU TERM KALGOORLIE,ST IVES INVINCIBLE (S068),ULSD 10PPM,-176
09.06.2025,8148358166,AU TERM KALGOORLIE,ST IVES INVINCIBLE (S068),ULSD 10PPM,-490
09.06.2025,8148357658,AU TERM KALGOORLIE,SILVER LAKE SANTA MINE,ULSD 10PPM,-552
09.06.2025,8148357658,AU TERM KALGOORLIE,SILVER LAKE SANTA MINE,ULSD 10PPM,-718
09.06.2025,8148354251,AU TERM KALGOORLIE,GSM WALLABY,ULSD 10PPM,"37,972"
09.06.2025,8148354251,AU TERM KALGOORLIE,GSM WALLABY,ULSD 10PPM,"41,524"
09.06.2025,8148354251,AU TERM KALGOORLIE,GSM WALLABY,ULSD 10PPM,"41,358"
09.06.2025,8148328346,AU TERM KALGOORLIE,ST IVES REVENGE (S066),ULSD 10PPM,"19,913"
09.06.2025,8148328349,AU TERM KALGOORLIE,ST IVES ATHENA (S064),ULSD 10PPM,"8,696"
09.06.2025,8148354300,AU TERM KALGOORLIE,ST IVES INVINCIBLE (S068),ULSD 10PPM,"8,599"
09.06.2025,8148354300,AU TERM KALGOORLIE,ST IVES INVINCIBLE (S068),ULSD 10PPM,"40,598"
09.06.2025,8148354300,AU TERM KALGOORLIE,ST IVES INVINCIBLE (S068),ULSD 10PPM,"8,496"
09.06.2025,8148339716,AU TERM KALGOORLIE,ST IVES INV STH (WEIGHBRIDGE) S060,ULSD 10PPM,"32,424"
09.06.2025,8148339718,AU TERM KALGOORLIE,SILVER LAKE RANDALLS,ULSD 10PPM,"33,952"
09.06.2025,8148339719,AU TERM KALGOORLIE,SILVER LAKE FRENCH KISS,ULSD 10PPM,"23,707"
09.06.2025,8148346314,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,"42,145"
09.06.2025,8148346314,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,"42,036"
09.06.2025,8148346314,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,"34,399"
09.06.2025,8148346314,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,"26,221"
09.06.2025,8148346883,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,"41,500"
09.06.2025,8148346883,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,"37,002"
09.06.2025,8148357862,AU TERM KALGOORLIE,TOLEDO AUSCO - RAYJAX FUEL FACILITY,ULSD 10PPM,"16,472"
