ESPERANCE,,,,,,
Date,Bill of Lading,Location,Customer,Product,Volume,
31.07.2025,8149029603,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-1,242",
31.07.2025,8149029601,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"43,762",
31.07.2025,8149029601,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,741",
31.07.2025,8149029602,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,230",
31.07.2025,8149029602,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,781",
31.07.2025,8149029603,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"43,531",
31.07.2025,8149029603,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,869",
31.07.2025,8149029603,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"20,430",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,ESPERANCE 3PL TOTAL,,,"1,176,829",
,,,,,,
KALGOORLIE,,,,,,
Date,Bill of Lading,Location,Customer,Product,Volume,
30.06.2025,8148634125,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-281,
30.06.2025,8148634125,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-304,
30.06.2025,8148634126,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-281,
30.06.2025,8148634126,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-304,
30.06.2025,8148634005,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-281,
30.06.2025,8148634005,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-304,
30.06.2025,8148634541,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-273,
30.06.2025,8148634541,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-242,
01.07.2025,8148634632,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-290,
01.07.2025,8148634632,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
01.07.2025,8148634543,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-290,
01.07.2025,8148634543,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
02.07.2025,8148634781,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-282,
02.07.2025,8148634781,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-250,
02.07.2025,8148601475,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-282,
02.07.2025,8148601475,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-250,
02.07.2025,8148601476,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-282,
02.07.2025,8148601476,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-250,
03.07.2025,8148619009,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-282,
03.07.2025,8148619009,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-250,
03.07.2025,8148634897,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-282,
03.07.2025,8148634897,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-250,
04.07.2025,8148634911,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-290,
04.07.2025,8148634911,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
04.07.2025,8148634951,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-290,
04.07.2025,8148634951,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
04.07.2025,8148634953,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-290,
04.07.2025,8148634953,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
10.07.2025,8148742139,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-290,
10.07.2025,8148742139,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-313,
10.07.2025,8148742671,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-290,
10.07.2025,8148742671,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-313,
10.07.2025,8148741413,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-290,
10.07.2025,8148741413,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-313,
07.07.2025,8148742460,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-286,
07.07.2025,8148742460,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
07.07.2025,8148732998,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-286,
07.07.2025,8148732998,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
07.07.2025,8148742461,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-286,
07.07.2025,8148742461,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
07.07.2025,8148742164,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-290,
07.07.2025,8148742164,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-313,
08.07.2025,8148742166,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-292,
08.07.2025,8148742166,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
08.07.2025,8148723608,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-292,
08.07.2025,8148723608,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
09.07.2025,8148742670,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-290,
09.07.2025,8148742670,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-313,
06.07.2025,8148742413,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-286,
06.07.2025,8148742413,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
06.07.2025,8148742401,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-286,
06.07.2025,8148742401,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
05.07.2025,8148632786,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-290,
05.07.2025,8148632786,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
29.06.2025,8148634001,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-281,
29.06.2025,8148634001,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-304,
29.06.2025,8148634004,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-281,
29.06.2025,8148634004,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-304,
30.06.2025,8148634125,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,232",
30.06.2025,8148634125,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,782",
30.06.2025,8148634126,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,231",
30.06.2025,8148634126,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,783",
30.06.2025,8148634005,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,235",
30.06.2025,8148634005,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,778",
30.06.2025,8148634541,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"42,949",
30.06.2025,8148634541,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"38,051",
01.07.2025,8148634632,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,159",
01.07.2025,8148634632,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,872",
01.07.2025,8148634543,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,155",
01.07.2025,8148634543,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,866",
02.07.2025,8148634781,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"42,953",
02.07.2025,8148634781,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"38,052",
02.07.2025,8148601475,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"42,950",
02.07.2025,8148601475,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"38,051",
02.07.2025,8148601476,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"42,946",
02.07.2025,8148601476,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"38,042",
03.07.2025,8148619009,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"42,953",
03.07.2025,8148619009,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"38,052",
03.07.2025,8148634897,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"42,951",
03.07.2025,8148634897,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"38,050",
04.07.2025,8148634911,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,162",
04.07.2025,8148634911,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,871",
04.07.2025,8148634951,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,149",
04.07.2025,8148634951,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,868",
04.07.2025,8148634953,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,160",
04.07.2025,8148634953,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,870",
10.07.2025,8148742139,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,231",
10.07.2025,8148742139,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,782",
10.07.2025,8148742671,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,234",
10.07.2025,8148742671,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,781",
10.07.2025,8148741413,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,233",
10.07.2025,8148741413,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,784",
07.07.2025,8148742460,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"43,635",
07.07.2025,8148742460,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,872",
07.07.2025,8148732998,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"43,633",
07.07.2025,8148732998,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,875",
07.07.2025,8148742461,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"43,635",
07.07.2025,8148742461,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,869",
07.07.2025,8148742164,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,219",
07.07.2025,8148742164,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,774",
08.07.2025,8148742166,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,482",
08.07.2025,8148742166,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,869",
08.07.2025,8148723608,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,483",
08.07.2025,8148723608,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,870",
09.07.2025,8148742670,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,220",
