Date,Bill of Lading,Location,Customer,Product,Volume,,
1/2/2024,8141255945,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,"43,001",,
1/2/2024,8141255945,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,790,,
1/2/2024,8141255945,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,903,,
1/2/2024,MARK BLACKWOOD,AU TERM KEWDALE,GRUYERE AERODROME,JET A-1,"33,390",,
1/2/2024,MARK BLACKWOOD,AU TERM KEWDALE,GRUYERE AERODROME,JET A-1,"5,509",,
1/2/2024,MARK BLACKWOOD,AU TERM KEWDALE,SKIPPERS AIR BULK DEL THUNDERBOX,JET A-1,"3,051",,
1/2/2024,MARK BLACKWOOD,AU TERM KEWDALE,SKIPPERS AIR BULK DEL THUNDERBOX,JET A-1,"8,382",,
1/2/2024,MARK BLACKWOOD,AU TERM KEWDALE,SKIPPERS AIR BULK DEL THUNDERBOX,JET A-1,344,,
1/2/2024,MARK BLACKWOOD,AU TERM KEWDALE,SKIPPERS AIR BULK DEL THUNDERBOX,JET A-1,946,,
1/2/2024,MARK BLACKWOOD,AU TERM KEWDALE,BHP AIR Bulk DEL Leinster,JET A-1,"8,412",,
1/2/2024,MARK BLACKWOOD,AU TERM KEWDALE,BHP AIR Bulk DEL Leinster,JET A-1,"1,231",,
1/2/2024,MARK BLACKWOOD,AU TERM KEWDALE,BHP AIR Bulk DEL Mt Keith,JET A-1,"13,499",,
1/2/2024,MARK BLACKWOOD,AU TERM KEWDALE,BHP AIR Bulk DEL Mt Keith,JET A-1,"2,230",,
1/2/2024,MARK BLACKWOOD,AU TERM KEWDALE,AU AIRPT LEONORA,JET A-1,"8,370",,
1/2/2024,MARK BLACKWOOD,AU TERM KEWDALE,AU AIRPT LEONORA,JET A-1,"1,203",,
1/2/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,PREMIUM 98 ULTIMATE,"3,500",,
1/2/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,PREMIUM 98 ULTIMATE,183,,
1/2/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,Regular Unleaded Petrol 91 Octane,"7,832",,
1/2/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,Regular Unleaded Petrol 91 Octane,409,,
1/2/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"39,845",,
1/2/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"15,648",,
1/2/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"26,355",,
1/2/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"2,080",,
1/2/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,817,,
1/2/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"1,376",,
1/2/2024,GRANT ROBINSON,AU TERM KEWDALE,AU AIRPT CARNARVON,JET A-1,"35,111",,
1/2/2024,GRANT ROBINSON,AU TERM KEWDALE,AU AIRPT CARNARVON,JET A-1,"32,199",,
