event_id,vehicle,detection_time,event_type,detected_event_type,eventDetectionType,confirmationState,classification,confirmation,fleet,guardian_unit
2446274214,1GJQ464,2/7/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00051737
2446270379,1GDJ946,2/7/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010824
2446239697,1GDJ946,2/7/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010824
2446187284,1CMC714,2/6/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011023
2451450375,1DVN300,4/14/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010821
2451202097,MD8410,4/10/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2450951262,1GNQ950,4/7/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011947
2450649844,1GMQ115,4/3/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010892
2450596452,1GNQ950,4/2/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011947
2450596484,1GNQ950,4/1/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011947
2450378546,1GNQ950,3/31/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011947
2450016581,1ECE509,3/26/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00050024
2449721803,219140,3/22/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00057208
2449630981,1ECE509,3/21/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00050024
2449549936,1ECE509,3/20/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00050024
2449369138,1ECE507,3/18/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00057158
2449268633,1ECE507,3/17/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00057158
2448602274,1ECE509,3/8/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00050024
2448600374,1HJQ543,3/8/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002036
2448468600,1HTP065,3/6/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011047
2448467462,1ECE507,3/6/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00057158
2448465431,1ECE507,3/6/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00057158
2453592743,1ECH116,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00008922
2453592439,1HXX552,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010680
2453590287,MD8410,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453590506,MD8410,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453587299,MD8410,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453586210,MD8410,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453586216,MD8410,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453585282,MD8410,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453585270,MD8410,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453576326,MD8410,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453574786,MD8410,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453574570,MD8410,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453574511,MD8410,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453573457,MD8410,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453573309,MD8410,5/14/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453505468,MD8410,5/13/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453493308,MD8410,5/13/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453493287,MD8410,5/13/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2453492687,MD8410,5/13/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2452923228,1DBC759,5/5/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011087
2452892586,1ECE509,5/5/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00050024
2452459444,204738,4/28/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00055569
2452404189,1CMC714,4/28/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011023
2452403032,MD8410,4/28/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2452401754,1GDJ946,4/28/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010824
2452234616,MD8410,4/25/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2451735801,MD8410,4/17/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2451572407,1DJL008,4/15/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011046
2456489720,GNG894A,6/24/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00013858
2455901978,1GMQ115,6/16/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010892
2455691995,1GCE176,6/12/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010875
2455434154,1HEL581,6/9/2025,fatigue,distraction,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00048884
2455427549,1CYD754,6/9/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00009052
2455249720,1GFN535,6/6/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010741
